num,timestamp,acc1,acc2,acc3,gyro1,gyro2,gyro3,orien1,orien2,orien3
0.0,2023-12-07 09:24:33.222108,10.4,-11.0,5.9,46.8,245.4,-70.6,345.3,34.7,-71.2
0.0,2023-12-07 09:24:33.716263,-2.6999999999999993,1.7999999999999998,-1.3000000000000007,-16.0,-222.8,83.9,347.7,46.4,-69.6
1.0,2023-12-07 09:24:38.742735,-4.6,-5.0,1.4,15.3,91.4,-21.9,246.5,94.3,24.3
1.0,2023-12-07 09:24:39.238053,26.099999999999998,-2.8999999999999995,11.1,57.5,28.5,-28.2,355.8,-18.1,-56.8
1.0,2023-12-07 09:24:39.757629,-20.2,-1.4,-9.5,24.9,-190.6,93.5,351.4,67.1,-72.0
2.0,2023-12-07 09:24:43.247223,-0.5,-0.09999999999999964,-0.09999999999999998,0.3,-7.7,2.5,196.9,100.9,71.6
2.0,2023-12-07 09:24:43.756093,-0.30000000000000004,-3.9000000000000004,-0.30000000000000004,25.4,83.4,-21.0,2.4,69.6,-89.4
2.0,2023-12-07 09:24:44.260724,15.399999999999999,-2.2,9.200000000000001,43.9,52.2,-49.3,347.6,-3.8,-51.4
2.0,2023-12-07 09:24:44.747040,-13.6,-2.4,-5.800000000000001,0.1,-154.3,78.9,345.5,58.6,-72.5
3.0,2023-12-07 09:24:46.797900,-0.5999999999999999,0.09999999999999964,0.4,0.2,1.7,1.0,189.2,103.6,83.8
3.0,2023-12-07 09:24:47.205079,-0.5999999999999999,0.09999999999999964,0.4,13.4,30.4,-15.7,189.2,103.6,83.8
3.0,2023-12-07 09:24:47.328726,-1.0,-2.8,-0.1,13.4,30.4,-15.7,3.7,70.0,-89.8
3.0,2023-12-07 09:24:47.721231,15.0,-5.6,7.0,48.1,89.1,-22.6,353.1,-5.5,-63.2
3.0,2023-12-07 09:24:48.262401,-7.399999999999999,-1.8,-2.8,9.8,-271.0,36.4,347.5,43.2,-79.1
