num,timestamp,acc1,acc2,acc3,gyro1,gyro2,gyro3,orien1,orien2,orien3
0.0,2023-12-07 09:32:27.971261,7.8,-1.1999999999999993,-5.8999999999999995,-31.4,-59.0,-28.3,197.6,125.8,54.5
0.0,2023-12-07 09:32:28.485411,-12.7,-6.1000000000000005,13.7,-137.7,148.8,-120.4,221.3,63.6,-26.9
0.0,2023-12-07 09:32:28.984084,12.899999999999999,-8.200000000000001,-2.5999999999999996,10.6,51.3,242.8,323.4,-7.7,-62.7
0.0,2023-12-07 09:32:29.463610,-13.299999999999999,8.6,-0.7000000000000002,-97.7,-150.5,-26.0,276.8,67.2,-8.5
1.0,2023-12-07 09:32:30.958524,0.5,-2.5,-5.2,-97.8,-92.3,-53.4,168.7,106.0,61.1
1.0,2023-12-07 09:32:31.465647,8.200000000000001,-12.5,14.0,-111.0,346.4,149.3,168.7,106.0,61.1
1.0,2023-12-07 09:32:31.586503,8.200000000000001,-12.5,14.0,-111.0,346.4,149.3,236.4,30.7,-89.5
1.0,2023-12-07 09:32:31.970301,2.3000000000000007,2.6000000000000005,-17.0,29.1,-208.9,40.7,166.9,159.5,89.4
2.0,2023-12-07 09:32:33.461031,-0.8999999999999999,-0.3000000000000007,0.6000000000000001,1.4,16.9,16.2,272.9,64.5,-35.5
2.0,2023-12-07 09:32:33.579494,-0.8999999999999999,-0.3000000000000007,0.6000000000000001,10.7,1.9,3.8,282.7,64.3,-43.5
2.0,2023-12-07 09:32:33.962024,1.6999999999999997,-2.1999999999999993,-5.0,-95.8,-102.4,-50.6,254.1,73.9,-26.2
2.0,2023-12-07 09:32:34.460789,13.099999999999998,-15.5,12.5,-149.8,303.8,57.9,231.5,-6.1,-63.6
2.0,2023-12-07 09:32:34.960738,-9.599999999999998,4.3,-17.2,-37.1,-235.0,37.6,344.4,38.9,-81.3
3.0,2023-12-07 09:32:36.462066,-1.5999999999999999,0.7999999999999989,-1.6999999999999997,-104.1,-16.8,36.6,148.0,102.7,51.1
3.0,2023-12-07 09:32:36.968117,-11.4,-16.7,-2.3,-29.3,105.5,96.6,148.0,102.7,51.1
3.0,2023-12-07 09:32:37.087535,-11.4,-16.7,-2.3,-29.3,105.5,96.6,161.3,164.6,-48.7
3.0,2023-12-07 09:32:37.473566,27.6,-5.6,-11.5,-87.4,-90.9,189.7,161.3,164.6,-48.7
3.0,2023-12-07 09:32:37.592047,27.6,-5.6,-11.5,-87.4,-90.9,189.7,121.0,-137.1,56.1
3.0,2023-12-07 09:32:37.963632,-19.4,8.399999999999999,11.1,-210.8,68.9,-40.6,190.0,173.1,-27.5
4.0,2023-12-07 09:32:40.043340,-2.4,-4.1,-2.3000000000000007,-15.7,-58.7,12.7,179.0,166.9,-22.8
4.0,2023-12-07 09:32:40.425316,2.5,1.7000000000000002,8.1,-15.7,-58.7,12.7,179.0,166.9,-22.8
4.0,2023-12-07 09:32:40.543322,2.5,1.7000000000000002,8.1,46.1,205.4,-54.8,156.8,130.0,-21.2
4.0,2023-12-07 09:32:41.019784,20.1,-11.7,-7.7,-141.3,-147.5,272.8,119.7,-158.2,44.6
4.0,2023-12-07 09:32:41.489567,-21.700000000000003,7.6,7.5,-144.9,84.4,-40.1,213.8,148.9,-29.9
5.0,2023-12-07 09:32:42.476770,0.9999999999999998,-0.5999999999999996,-3.0,87.5,11.8,-22.9,179.0,122.0,18.8
5.0,2023-12-07 09:32:42.975787,3.5,-0.8000000000000007,7.4,74.4,-26.2,107.8,177.5,115.3,36.5
